2026-07-02 14:25:36,ESP32-DHT11,28.9,46.0,900.0
2026-07-02 14:25:48,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:26:00,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:26:13,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:26:25,ESP32-DHT11,28.9,46.0,900.0
2026-07-02 14:26:37,ESP32-DHT11,28.9,46.0,900.0
2026-07-02 14:26:50,ESP32-DHT11,28.9,46.0,900.0
2026-07-02 14:27:02,ESP32-DHT11,28.9,46.0,900.0
2026-07-02 14:27:14,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:27:27,ESP32-DHT11,28.9,46.0,900.0
2026-07-02 14:27:39,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:27:52,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:28:06,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:28:10,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:28:24,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:28:28,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:28:40,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:28:53,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:29:05,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:29:17,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:29:30,ESP32-DHT11,28.9,48.0,900.0
2026-07-02 14:29:42,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:29:55,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:30:08,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:30:13,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:30:25,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:30:37,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:30:50,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:31:02,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:31:14,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:31:28,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:31:32,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:31:45,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:31:57,ESP32-DHT11,28.9,47.0,900.0
2026-07-02 14:32:10,ESP32-DHT11,28.9,47.0,900.0
2026-07-03 13:24:56,ESP32-MOCK,23.7,74.8,936.0
2026-07-07 16:08:12,ESP32-DHT11,25.8,52.0,919.0
2026-07-07 16:08:16,ESP32-DHT11,25.8,52.0,883.0
2026-07-07 16:08:23,ESP32-DHT11,25.8,52.0,866.0
2026-07-07 16:08:30,ESP32-DHT11,25.8,52.0,871.0
2026-07-07 16:08:36,ESP32-DHT11,25.8,52.0,883.0
2026-07-07 16:08:43,ESP32-DHT11,25.8,52.0,895.0
2026-07-07 16:08:49,ESP32-DHT11,25.8,52.0,982.0
2026-07-07 16:08:56,ESP32-DHT11,25.8,52.0,901.0
2026-07-07 16:09:02,ESP32-DHT11,25.8,52.0,976.0
2026-07-07 16:09:08,ESP32-DHT11,26.0,52.0,953.0
2026-07-07 16:09:14,ESP32-DHT11,26.2,52.0,916.0
2026-07-07 16:09:21,ESP32-DHT11,26.2,52.0,993.0
2026-07-07 16:09:28,ESP32-DHT11,26.2,52.0,889.0
2026-07-07 16:09:34,ESP32-DHT11,26.2,52.0,922.0
2026-07-07 16:09:41,ESP32-DHT11,26.2,52.0,928.0
2026-07-07 16:09:47,ESP32-DHT11,26.2,52.0,980.0
2026-07-07 16:09:53,ESP32-DHT11,26.2,52.0,861.0
2026-07-07 16:10:00,ESP32-DHT11,26.2,52.0,958.0
2026-07-07 16:10:06,ESP32-DHT11,26.2,52.0,872.0
2026-07-07 16:10:13,ESP32-DHT11,26.2,52.0,936.0
2026-07-07 16:10:19,ESP32-DHT11,26.2,52.0,900.0
2026-07-07 16:10:25,ESP32-DHT11,26.2,52.0,934.0
2026-07-07 16:10:32,ESP32-DHT11,26.2,52.0,891.0
2026-07-07 16:10:39,ESP32-DHT11,26.2,52.0,988.0
2026-07-07 16:10:45,ESP32-DHT11,26.2,52.0,950.0
2026-07-07 16:10:51,ESP32-DHT11,26.2,52.0,964.0
2026-07-07 16:10:58,ESP32-DHT11,26.2,52.0,877.0
2026-07-07 16:11:04,ESP32-DHT11,26.2,52.0,922.0
2026-07-07 16:11:11,ESP32-DHT11,26.2,52.0,908.0
2026-07-07 16:11:17,ESP32-DHT11,26.2,52.0,859.0
2026-07-07 16:11:23,ESP32-DHT11,26.2,52.0,854.0
2026-07-07 16:11:29,ESP32-DHT11,26.2,52.0,917.0
2026-07-07 16:11:36,ESP32-DHT11,26.2,52.0,983.0
2026-07-07 16:11:42,ESP32-DHT11,26.2,52.0,973.0
2026-07-07 16:11:48,ESP32-DHT11,26.2,52.0,932.0
2026-07-07 16:11:55,ESP32-DHT11,26.2,52.0,974.0
2026-07-07 16:12:01,ESP32-DHT11,26.2,52.0,867.0
2026-07-07 16:12:07,ESP32-DHT11,26.2,52.0,973.0
2026-07-07 16:12:14,ESP32-DHT11,26.2,52.0,878.0
2026-07-07 16:12:20,ESP32-DHT11,26.2,52.0,977.0
2026-07-07 16:12:26,ESP32-DHT11,26.2,52.0,896.0
2026-07-07 16:12:32,ESP32-DHT11,26.2,52.0,911.0
2026-07-07 16:12:39,ESP32-DHT11,26.2,52.0,987.0
2026-07-07 16:12:46,ESP32-DHT11,26.2,52.0,948.0
2026-07-07 16:12:50,ESP32-DHT11,26.2,52.0,954.0
2026-07-07 16:12:56,ESP32-DHT11,26.2,52.0,949.0
2026-07-07 16:13:03,ESP32-DHT11,26.1,52.0,889.0
2026-07-07 16:13:10,ESP32-DHT11,26.0,52.0,905.0
2026-07-07 16:13:16,ESP32-DHT11,26.2,59.0,893.0
2026-07-07 16:13:22,ESP32-DHT11,26.2,58.0,984.0
2026-07-07 16:13:29,ESP32-DHT11,26.2,56.0,915.0
2026-07-07 16:13:35,ESP32-DHT11,26.2,55.0,867.0
2026-07-07 16:13:41,ESP32-DHT11,26.2,54.0,934.0
2026-07-07 16:13:48,ESP32-DHT11,26.2,54.0,885.0
2026-07-07 16:13:54,ESP32-DHT11,26.7,53.0,998.0
2026-07-07 16:14:01,ESP32-DHT11,26.7,53.0,955.0
2026-07-07 16:14:07,ESP32-DHT11,26.7,53.0,959.0
2026-07-07 16:14:14,ESP32-DHT11,26.7,53.0,882.0
2026-07-07 16:14:20,ESP32-DHT11,26.7,53.0,917.0
2026-07-07 16:15:48,ESP32-DHT11,26.7,52.0,953.0
2026-07-07 16:16:02,ESP32-DHT11,27.1,51.0,915.0
2026-07-07 16:16:07,ESP32-DHT11,27.1,51.0,951.0
2026-07-07 16:16:19,ESP32-DHT11,27.1,51.0,883.0
2026-07-07 16:16:33,ESP32-DHT11,27.1,51.0,930.0
2026-07-07 16:16:38,ESP32-DHT11,27.1,50.0,877.0
2026-07-07 16:16:51,ESP32-DHT11,27.1,50.0,955.0
2026-07-07 16:17:02,ESP32-DHT11,27.1,50.0,992.0
2026-07-07 16:17:17,ESP32-DHT11,27.1,50.0,913.0
2026-07-07 16:17:22,ESP32-DHT11,27.2,50.0,893.0
2026-07-07 16:17:26,ESP32-DHT11,27.1,50.0,868.0
2026-07-07 16:17:41,ESP32-DHT11,30.0,77.0,921.0
2026-07-07 16:17:45,ESP32-DHT11,33.8,98.0,917.0
2026-07-07 16:17:58,ESP32-DHT11,32.8,98.0,931.0
2026-07-07 16:18:10,ESP32-DHT11,31.8,92.0,860.0
2026-07-07 16:18:22,ESP32-DHT11,30.8,83.0,992.0
2026-07-07 16:18:35,ESP32-DHT11,29.8,76.0,981.0
2026-07-07 16:18:47,ESP32-DHT11,29.3,70.0,938.0
2026-07-07 16:19:05,ESP32-DHT11,28.9,68.0,933.0
2026-07-07 16:19:07,ESP32-DHT11,28.9,68.0,916.0
2026-07-07 16:19:19,ESP32-DHT11,28.5,64.0,950.0
2026-07-07 16:19:26,ESP32-DHT11,28.5,64.0,992.0
2026-07-07 16:19:39,ESP32-DHT11,28.0,64.0,993.0
2026-07-07 16:19:51,ESP32-DHT11,28.0,63.0,949.0
2026-07-07 16:20:03,ESP32-DHT11,27.7,63.0,933.0
2026-07-07 16:20:16,ESP32-DHT11,27.6,63.0,943.0
2026-07-07 16:20:30,ESP32-DHT11,27.6,62.0,958.0
